USERNAME,PASSWORD,NAME,CUSTOMER ID,ACC NO,BALANACE
Suryant123,Surya@129,NT Surya,350,96880550601,213.88
Udayv28,Uday@127,Vante Uday,351,96880550602,2019.34
Varada92,Saikumar@21,Varada Saikumar,352,96880550603,526.98
Srangu43,Vinay@09,Rangu Srinu,353,96880550604,1900.9
Chinni43,Sairam@21,Regula Sairam,354,96880550605,313.56
Sony2123,Sravani@76,Pola Sravani,355,96880550606,212.56
Kramu282,Raju@9890,Kinda Ramu,356,96880550607,3478.98
Lnithin321,Niti@5321,Laram Nithin ,357,96880550608,809
Amdali32,Ali@3214,Ahmed Ali,358,96880550609,989
Ksri3252,Srija@45,Kurne Srija,359,96880550610,435.76
Kramesh35,Ramesh@18,Kongga Rajeshwari,460,96880550611,321.43
Prangu32,Pranitha@96,Rangu Pranitha,461,96880550612,32094.34
Vaari754,Vikas@21,Vaari Vikas,462,96880550613,434.53
Geesa88,Lucky@123,Geesa Lucky,463,96880550614,8488
Ragam@216,Navvi@32,Geesa Naveen,464,96880550615,8985.09
